State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
Punjab,Hoshiarpur,"Tanda Urmur",Cauliflower,Other,FAQ,13/08/2025,4000,5000,4500
Punjab,Hoshiarpur,"Tanda Urmur","Field Pea",Other,FAQ,13/08/2025,9000,11000,10000
Punjab,Hoshiarpur,"Tanda Urmur",Ginger(Dry),Other,FAQ,13/08/2025,6000,7000,6500
Punjab,Hoshiarpur,"Tanda Urmur",Lemon,Other,FAQ,13/08/2025,4000,5000,4500
Punjab,Hoshiarpur,"Tanda Urmur",Papaya,Other,Medium,13/08/2025,4500,5000,4800
Punjab,Ludhiana,Sahnewal,Onion,Onion,FAQ,13/08/2025,2000,2000,2000
Punjab,Ludhiana,Sahnewal,Potato,Potato,FAQ,13/08/2025,1000,1000,1000
Punjab,Ludhiana,Sahnewal,"Sweet Pumpkin","Sweet Pumpkin",FAQ,13/08/2025,600,600,600
Rajasthan,Ganganagar,"Sriganganagar (F&V)",Capsicum,Other,FAQ,13/08/2025,4300,4700,4500
Rajasthan,Ganganagar,"Sriganganagar (F&V)",Ginger(Green),"Green Ginger",FAQ,13/08/2025,3800,4200,4000
Rajasthan,Ganganagar,"Sriganganagar (F&V)","Green Chilli","Green Chilly",FAQ,13/08/2025,2900,3300,3100
Rajasthan,Ganganagar,"Sriganganagar (F&V)",Onion,Other,FAQ,13/08/2025,1300,1700,1500
Rajasthan,Ganganagar,"Sriganganagar (F&V)",Papaya,Other,Medium,13/08/2025,2200,2600,2400
Tripura,"North Tripura",Dasda,Onion,Onion,FAQ,13/08/2025,2800,3000,2900
"Uttar Pradesh",Badaun,Babrala,Wood,Eucalyptus,FAQ,13/08/2025,580,600,590
"Uttar Pradesh",Bulandshahar,Gulavati,"Bitter gourd","Bitter Gourd",FAQ,13/08/2025,1500,1700,1600
"Uttar Pradesh",Bulandshahar,Gulavati,"Bottle gourd","Bottle Gourd",FAQ,13/08/2025,1000,1200,1100
"Uttar Pradesh",Bulandshahar,Gulavati,Brinjal,Other,FAQ,13/08/2025,700,900,800
"Uttar Pradesh",Bulandshahar,Gulavati,Cucumbar(Kheera),Cucumbar,FAQ,13/08/2025,1300,1500,1400
"Uttar Pradesh",Bulandshahar,Gulavati,"Green Chilli","Green Chilly",FAQ,13/08/2025,2100,2300,2200
"Uttar Pradesh",Bulandshahar,Gulavati,Pumpkin,Other,FAQ,13/08/2025,750,850,800
"Uttar Pradesh",Hathras,Shadabad,Potato,Desi,FAQ,13/08/2025,600,700,650
"Uttar Pradesh",Hathras,Shadabad,Tomato,Deshi,FAQ,13/08/2025,2500,2600,2550
"Uttar Pradesh","Khiri (Lakhimpur)",Maigalganj,Garlic,Garlic,FAQ,13/08/2025,2900,2950,2925
"Uttar Pradesh","Khiri (Lakhimpur)",Maigalganj,Gur(Jaggery),Khandsari,FAQ,13/08/2025,4100,4150,4125
"Uttar Pradesh",Meerut,Sardhana,Potato,Desi,Non-FAQ,13/08/2025,1000,1150,1100
Uttrakhand,Dehradoon,Vikasnagar,"Bitter gourd",Other,FAQ,13/08/2025,1200,1200,1200
Uttrakhand,Dehradoon,Vikasnagar,Cucumbar(Kheera),Other,FAQ,13/08/2025,500,1000,1000
Uttrakhand,Dehradoon,Vikasnagar,Potato,Other,Non-FAQ,13/08/2025,600,1000,1000
Uttrakhand,Dehradoon,Vikasnagar,Raddish,Other,FAQ,13/08/2025,500,500,500
