State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_x0020_Price,Max_x0020_Price,Modal_x0020_Price
Kerala,Kollam,Sasthamkotta,Banana,"Nendra Bale",Medium,13/08/2025,5000,5500,5200
Kerala,Kollam,Sasthamkotta,Banana,Palayamthodan,Medium,13/08/2025,2000,2400,2200
Kerala,Kollam,Sasthamkotta,Pumpkin,Other,FAQ,13/08/2025,3000,3500,3200
Kerala,Kollam,Sasthamkotta,Snakeguard,Other,FAQ,13/08/2025,2200,2600,2400
Kerala,Kottayam,Pampady,Ashgourd,Other,FAQ,13/08/2025,2500,4000,3500
Kerala,Kottayam,Pampady,"Bhindi(Ladies Finger)",Bhindi,FAQ,13/08/2025,4000,5000,4500
Kerala,Kottayam,Pampady,Colacasia,Other,FAQ,13/08/2025,4500,6500,5500
Kerala,Kottayam,Pampady,"Mango (Raw-Ripe)",Other,FAQ,13/08/2025,5000,6500,6000
Kerala,Kottayam,Pampady,Tomato,Other,FAQ,13/08/2025,5500,6500,6000
Kerala,Kozhikode(Calicut),Mukkom,Ashgourd,Other,FAQ,13/08/2025,2400,2600,2500
Kerala,Kozhikode(Calicut),Mukkom,Banana,Other,Large,13/08/2025,5000,5300,5100
Kerala,Kozhikode(Calicut),Mukkom,"Bottle gourd","Bottle Gourd",FAQ,13/08/2025,2800,3200,3000
Kerala,Kozhikode(Calicut),Mukkom,Cabbage,Cabbage,FAQ,13/08/2025,3400,3600,3500
Kerala,Kozhikode(Calicut),Mukkom,Carrot,Carrot,FAQ,13/08/2025,6400,6700,6500
Kerala,Kozhikode(Calicut),Mukkom,"Coconut Seed",Other,FAQ,13/08/2025,6800,7000,6900
Kerala,Kozhikode(Calicut),Mukkom,Cucumbar(Kheera),Cucumbar,FAQ,13/08/2025,3600,3800,3700
Kerala,Kozhikode(Calicut),Mukkom,Onion,Onion,FAQ,13/08/2025,2100,2500,2300
Kerala,Pathanamthitta,"Erath  VFPCK",Snakeguard,Other,FAQ,13/08/2025,5500,5700,5600
Kerala,Thiruvananthapuram,Parassala,Banana,Palayamthodan,Medium,13/08/2025,2500,3000,2500
Kerala,Thiruvananthapuram,Parassala,Banana,Rasakathai,Medium,13/08/2025,5000,5500,5000
Kerala,Thiruvananthapuram,Parassala,Drumstick,Drumstick,FAQ,13/08/2025,3500,4000,3500
Punjab,Gurdaspur,Kalanaur,Capsicum,Capsicum,FAQ,13/08/2025,4500,4500,4500
Punjab,Hoshiarpur,"Tanda Urmur","Green Chilli",Other,FAQ,13/08/2025,2000,3000,2500
